Active	Cat	Pack	Ver	Title	Artist	Album	Runtime
Checked	G2			BAILAMOS	ENRIQUE IGLESIAS		03:21
Checked	G2			BAL WSZYSTKICH SWIETYCH	BUDKA SUFLERA		04:22
Checked	CF2			Ballada o Niej	DARIA ZAWIAŁOW	Dziewczyna Pop	04:19
Checked	R2			Be Mine	Ofenbach	Best Of 2017 - Sommerhits	02:39
Checked	R2			Be The One	Dua Lipa	Dua Lipa (deluxe)	03:19
Checked	G2			BE WITH YOU	ENRIQUE IGLESIAS		03:34
Checked	G1			BEAT IT	Michael Jackson		04:08
Checked	G1			Beautiful Day	U2		03:50
Checked	CF1			Beautiful Things	Benson Boone	Beautiful Things	02:55
Checked	G2			BED OF ROSES	BON JOVI		06:25
Checked	R2			BEFORE YOU GO	LEWIS CAPALDI		03:30
Checked	R2			Beggin'	Måneskin		03:27
Checked	G1			Believe	CHER		04:12
Checked	R1			Believer	Imagine Dragons		03:20
Checked	R1			Belong Together	Mark Ambor	Belong Together	02:25
Checked	G1			Bette Davis Eyes	KIM CARNES		03:37
Checked	SP2			BIALY KRZYZ	CZERWONE GITARY		03:07
Checked	G2			BIG BIG WORLD	EMILIA		03:18
Checked	G1			BILLIE JEAN	Michael Jackson		04:45
Checked	CF1			BIRDS OF A FEATHER	Billie Eilish	HIT ME HARD AND SOFT	03:27
Checked	G1			BITTER SWEET SYMPHONY	THE VERVE		04:28
Checked	G2			BLACK & WHITE	KOMBI	best of kombi	03:49
Checked	G1			BLACK OR WHITE	Michael Jackson		03:15
Checked	G2			BLACK VELVET	ALANNAH MYLES		03:35
Checked	R1			BLANK SPACE	Taylor Swift		03:50
Checked	R1			BLEEDING LOVE	LEONA LEWIS		04:19
Checked	R1			Blinding Lights	The Weeknd	Billboard Top 100 of 2022	03:17
Checked	G2			BLUE EYES BLUE	ERIC CLAPTON		04:15
Checked	R1			BO JESTES TY	KRZYSZTOF KRAWCZYK		03:27
Checked	R2			BOHEMA	WILKI		03:39
Checked	SP2			BOHEMIAN RAPSODY	Queen		05:38
Checked	R1			Bones	Imagine Dragons	Billboard Top 100 of 2022	02:38
Checked	G1			BORN IN THE U.S.A	Bruce Springsteen		04:29
Checked	R2			Boso	Zakopower	Boso	04:47
Checked	R1			BOULEVARD OF BROKEN DREAMS	GREEN DAY		04:18
Checked	G2			BRACKA	GRZEGORZ TURNAU		04:53
Checked	G2			Breakfast At Tiffany's	Deep Blue Something		04:12
Checked	G1			BREATHLESS	The Corrs		03:24
Checked	R2			BROKEN STRINGS	JAMES MORRISON FT. NELLY FURTADO		04:06
Checked	G2			Broken Wings	Mr. Mister		04:28
Checked	R1			Budapest	George Ezra		03:20
Checked	G2			BUDZIKOM SMIERC	PIASEK		04:41
Checked	R2			BULLETPROOF (RADIO EDIT)	LA ROUX		03:24
Checked	R2			Bumerang	Ewa Farna		03:13
Checked	G1			BYLAS SERCA BICIEM	ANDRZEJ ZAUCHA		04:17
Checked	CF2			było, minęło	sanah	było, minęło	03:24
Checked	CF2			Byłominęło	Kwiat Jabłoni	Byłominęło	03:41
Checked	SP1			CALIFORNIA DREAMIN'	THE MAMAS & THE PAPAS		02:35
Checked	R2			Californication	RED HOT CHILLI PEPPERS		05:16
Checked	SP2			Całkiem Nowa Bajka	Kleks & Igo & Kaska Sochacka & Mrozu & Artur Rojek & Brodka & Ralph Kaminski & Bedoes 2115 & Sokół	Całkiem Nowa Bajka	03:08
Checked	CF2			Cały czas	Oskar Cyms	Cały czas	02:44
Checked	G1			CAN YOU FEEL THE LOVE	ELTON JOHN		03:57
Checked	SP2			CANCION DE MARIACHI	LOS LOBOS		02:02
Checked	G2			Canned Heat (Radio Edit)	Jamiroquai		03:41
Checked	R1			Can't Feel My Face	The Weeknd	Billboard Usa Top 100 Hits 2016	03:28
Checked	R2			CAN'T FIGHT THE MOONLIGHT	LeAnn Rimes		03:32
Checked	R1			CAN'T GET YOU OUT OF MY HEAD	KYLIE MINOGUE		03:47
Checked	R2			CAN'T STOP LOVING YOU	Phil Collins		04:08
Checked	R1			Can't Stop The Feeling!	Justin Timberlake		03:53
Checked	G1			Careless Whisper	GEORGE MICHAEL		04:53
Checked	CF2			Carry You Home	Alex Warren	Carry You Home	02:43
Checked	SP1			CELEBRATION	KOOL & THE GANG		04:52
Checked	G2			C'EST LA VIE - PARYZ Z POCZTOWKI	ANDRZEJ ZAUCHA		04:35
Checked	R2			Chained To The Rhythm (Feat. Skip Marley)	Katy Perry	Billboard Top 100 Hits 2017	03:53
Checked	G2			CHANGE THE WORLD	ERIC CLAPTON		03:51
Checked	R1			Chasing Pavements	Adele		03:26
Checked	G1			CHCEMY BYC SOBA	PERFECT		05:19
Checked	R2			Chciałem być	KRZYSZTOF KRAWCZYK	Concert Hits	03:33
Checked	R1			Cheap Thrills	Sia		03:24
Checked	G2			CHERISH	Madonna		03:45
Checked	G2			CHINA IN YOUR HAND	T-PAU		03:58
Checked	G1			CHLOPAKI NIE PLACZA	T.LOVE		03:11
Checked	G2			CIRCLE IN THE SAND	BELINDA CARLISLE		04:10
Checked	G2			CIRCLE OF LIFE	ELTON JOHN		04:47
Checked	R2			CISZA	KAMIL BEDNAREK		03:37
Checked	R1			CLOCKS	Coldplay		04:09
Checked	R2			Closer	The Chainsmokers & Halsey	Billboard Top 100 of 2022	04:03
Checked	G2			Closing Time	Semisonic		03:47
Checked	G2			CLUB TROPICANA	WHAM		04:23
Checked	CF2			Co ja robię tu	LANBERRY	Co ja robię tu	02:35
Checked	G1			CO MI PANIE DASZ	BAJM		03:30
Checked	CF1			Co noc	Oskar Cyms	Co noc	02:33
Checked	G2			CO TY TUTAJ ROBISZ	ELEKTRYCZNE GITARY		03:13
Checked	R1			Cold Heart (Pnau Remix)	Elton John & Dua Lipa	Billboard Top 100 of 2022	03:19
Checked	G2			COME UNDONE	DURAN DURAN		04:10
Checked	R1			COMPLICATED	AVRIL LAVIGNE		04:01
Checked	R2			CORAZON ESPINADO	CARLOS SANTANA		04:27
Checked	G2			COS OPTYMISTYCZNEGO	KASIA KOWALSKA		03:17
Checked	G2			COSE DELLA VITA	EROS RAMAZZOTTI & TINA TURNER		04:40
Checked	G2			COSMIC GIRL	Jamiroquai		03:42
Checked	G2			Could You Be Loved	Joe Cocker		04:05
Checked	R1			Counting Stars	OneRepublic		04:14
Checked	R1			Crazy	Gnarls Barkley		02:57
Checked	G2			Crazy	Seal		04:53
Checked	G2			Crazy	AEROSMITH		05:05
Checked	R2			Crazy in Love	Beyoncé		03:52
Checked	SP1			CRAZY LITTLE THING CALLED LOVE	Queen		02:35
Checked	R1			Cruel Summer	Taylor Swift	Lover	02:55
Checked	R2			CRY ME A RIVER	Justin Timberlake		04:46
Checked	G2			CRYIN'	AEROSMITH		05:04
Checked	F1			Cyrk	LANBERRY	Cyrk	03:01
Checked	SP2			CZARNY ALIBABA	ANDRZEJ ZAUCHA		03:40
Checked	NB			CZAS NAS UCZY POGODY	SOYKA		06:48
Checked	R1			CZERWONE KORALE	BRATHANKI		03:29
Checked	G2			CZLOWIEK Z LISCIEM NA GLOWIE	ELEKTRYCZNE GITARY		02:48
Checked	SP2			CZY MNIE JESZCZE PAMIETASZ	CZESLAW NIEMEN		02:57
Checked	G2			CZY ONA JEST	NATALIA KUKULSKA	PLUS	03:51
Checked	R2			Dach	TABB & SOUND'N'GRACE		03:45
Checked	R2			Dance All Over Me	George Ezra		03:36
Checked	NB			DANCE ME TO THE END OF LOVE	LEONARD COHEN		05:24
Checked	R2			DANCING IN THE MOONLIGHT	Toploader		03:41
Checked	SP1			DANCING QUEEN	ABBA		03:42
Checked	G2			DARY LOSU	RYSZARD RYNKOWSKI		04:14
Checked	R1			Dernière danse	INDILA		03:32
Checked	CF1			Die With A Smile	LADY GAGA & Bruno Mars	Die With A Smile	04:03
Checked	R2			DILEMMA	NELLY & KELLY ROWLAND		04:44
Checked	G2			DIRTY DIANA	Michael Jackson	BAD	04:37
Checked	R1			DLA CIEBIE	MYSLOVITZ		03:39
Checked	G1			Długość Dźwięku Samotności	MYSLOVITZ		03:59
Checked	R1			DMUCHAWCE, LATAWCE, WIATR	Ewa Farna		03:54
Checked	SP2			DNI KTORYCH NIE ZNAMY	MAREK GRECHUTA		04:50
Checked	G1			DO KOLYSKI	DZEM		04:22
Checked	R2			Do Nieba Do Piekła	BLUE CAFE	DEMI-SEC	02:40
Checked	SP2			DO YA THINK I'M SEXY?	ROD STEWART		04:15
Checked	R2			Do You Good	Morcheeba		03:31
Checked	R2			DOBRE MYŚLI	SYLWIA GRZESZCZAK & LIBER		03:18
Checked	CF2			Doctor (Work It Out) [feat. Miley Cyrus]	Pharrell Williams	Doctor (Work It Out) [feat. Miley Cyrus]	02:58
Checked	R2			Don't	Ed Sheeran		03:35
Checked	NB			Don't Give Up	Peter Gabriel & Kate Bush		05:51
Checked	R2			DON'T KNOW WHY	NORAH JONES		02:59
Checked	G2			Don't Let Go (Love)	EN VOGUE	EV3	04:00
Checked	G1			Don't Look Back In Anger	Oasis		04:46
Checked	R2			Don't Panic	Coldplay	Parachutes	02:13
Checked	G1			DON'T SPEAK	NO DOUBT		04:13
Checked	R1			Don't Start Now	Dua Lipa	Billboard Top 100 of 2022	02:58
Checked	G2			Don't Stop Believin'	Journey		04:05
Checked	R2			DON'T TELL ME	Madonna		04:10
Checked	G2			Dotyk	EDYTA GORNIAK		04:17
Checked	G2			DOWN UNDER	MEN AT WORK		03:32
Checked	G1			Dreams	THE CRANBERIES		04:25
Checked	SP2			DUMKA NA DWA SERCA	EDYTA GORNIAK		04:11
Checked	SP2			DUST IN THE WIND	KANSAS		03:12
Checked	G2			Dzieci Wybiegly	ELEKTRYCZNE GITARY	Wycieczka W Góry	02:53
Checked	R2			DZIEWCZYNA MOJEGO CHŁOPAKA	MONIKA BRODKA		03:26
Checked	G2			Dziewczyna szamana	JUSTYNA STECZKOWSKA		03:13
Checked	G2			DZIEWCZYNY LUBIA BRAZ	RYSZARD RYNKOWSKI		04:29
Checked	CF1			Dzięki, że jesteś	LANBERRY & Tribbs	Dzięki, że jesteś	02:27
Checked	CF2			Dziwna	DARIA ZAWIAŁOW & Artur Rojek		02:36
Checked	SP2			DZIWNY JEST TEN SWIAT	CZESLAW NIEMEN		03:33
Checked	G2			Earth Song (Radio Edit)	Michael Jackson		04:55
Checked	SP1			EASY	THE COMMODORES		03:58
Checked	G1			EASY LOVER	Phil Collins	Serious Hits... Live!	04:30
Checked	R2			Easy On Me	Adele	Billboard Top 100 of 2022	03:39
Checked	SP2			Eleanor Rigby	THE BEATLES		02:03
Checked	R2			ELEVATION	U2	TOMB RIDER SOUNDTRACK	03:32
Checked	R2			Empire State of Mind (Pt. II) Broken Down	Alicia Keys		03:32
Checked	CF2			End of the World	Miley Cyrus		03:54
Checked	G1			ENGLISHMAN IN NEW YORK	STING		04:09
Checked	G1			ENJOY THE SILENCE	DEPECHE MODE		04:08
Checked	G2			ERASE/REWIND	THE CARDIGANS		03:33
Checked	CF1			Espresso	Sabrina Carpenter	Short n' Sweet	02:51
Checked	G2			ETERNAL FLAME	ATOMIC KITTEN		03:04
Checked	R2			ETERNITY	Robbie Williams		04:21
Checked	G2			EVERY BEAT OF MY HEART	ROD STEWART		05:13
Checked	G1	EVER		Every Breath You Take	The Police		03:59
Checked	G1			EVERYBODY HURTS	R.E.M.		05:11
Checked	G1			EVERYBODY WANTS TO RULE THE WORLD	TEARS FOR FEARS	Songs from the Big Chair	04:03
Checked	G2			EVERYDAY IS A WINDING ROAD	SHERYL CROW		04:03
Checked	G2			EVERYWHERE	Fleetwood Mac		03:37
Checked	CF2			Eviva l’arte! (K. Przerwa-Tetmajer)	sanah	Eviva l’arte! (K. Przerwa-Tetmajer)	03:33
Checked	SP1			Eye of the Tiger	Survivor		03:42
Checked	G2			FADING LIKE A FLOWER	ROXETTE		03:43
Checked	R1			FALLIN	Alicia Keys		03:11
Checked	R2			Fast Car	Luke Combs	Gettin' Old	04:20
Checked	G2			Fast Car	TRACY CHAPMAN		04:51
Checked	G2			FASTLOVE	GEORGE MICHAEL		05:21
Checked	R1			FEEL	Robbie Williams		03:38
Checked	R2			Feeling Good	MICHAEL BUBLE		03:48
Checked	R2			Feels (feat. Pharrell Williams, Katy Perry & Big Sean)	Calvin Harris		03:41
Checked	CF1			feelslikeimfallinginlove	Coldplay	feelslikeimfallinginlove	03:53
Checked	G1			FIELDS OF GOLD	STING		03:32
Checked	CF1			FIFI HOLLYWOOD	DARIA ZAWIAŁOW		02:53
Checked	R2			FIREFLIES	OWL CITY		03:41
Checked	G2			FLECIKI	KAYAH		04:41
Checked	CF1			Flowers	Miley Cyrus	Flowers	03:16
Checked	G2			FLY AWAY	LENNY KRAVITZ		03:02
Checked	G1			FOOTLOSE	KENNY LOGGINS		03:44
Checked	G1			FOREVER YOUNG	ALPHAVILLE		03:33
Checked	R2			FORGET ME	LEWIS CAPALDI		03:20
Checked	R2			Forget You	CEE LO GREEN		03:39
Checked	G2			FRAGILE	STING		03:42
Checked	G2			FREEDOM	WHAM	Make It Big	05:15
Checked	R2			FREEDOM	Pharrell Williams		02:41
Checked	R2			FREELOVE	DEPECHE MODE		03:53
Checked	G2			FRIDAY I'M IN LOVE	The Cure		03:28
Checked	R2			FROM SARAH WITH LOVE	SARAH CONNOR		04:14
Checked	G2			FROZEN	Madonna		06:02
Checked	CF2			Galileo Galilei	Aden Foyer	The Ballet Girl	03:17
Checked	SP2			GDY NIE MA DZIECI	KULT		02:54
Checked	SP2			GDYBYS KOCHAL, HEJ!	BREAKOUT		03:04
Checked	G1			GENIE IN A BOTTLE	CHRISTINA AGUILERA		03:36
Checked	R2			Geronimo	Sheppard		03:34
Checked	R1			Get Lucky (feat. Pharrell Williams) [Radio Edit]	Daft Punk		04:02
Checked	SP1			GIMMIE! GIMMIE! GIMMIE! (A MAN AFTER MIDNIGHT)	ABBA		04:40
Checked	SP2			GIRL YOU'LL BE A WOMAN SOON	NEIL DIAMOND		03:07
Checked	G1			GIRLS JUST WANNA HAVE FUN	CYNDI LAUPER		03:44
Checked	R2			GITAN	GAROU		03:56
Checked	G2			GOLDEN EYE	Tina Turner		03:25
Checked	R2			GOODBYE MY LOVER	JAMES BLUNT		03:51
Checked	R2			GOTOWI NA WSZYSTKO	FEEL & LANBERRY		03:34
Checked	R1			GRACE KELLY	MIKA		03:01
Checked	R2			greedy	Tate McRae	greedy	02:09
Checked	R2			GYPSY	SHAKIRA		03:13
Checked	NB			HALLELUJAH	LEONARD COHEN		06:48
Checked	R1			HAPPY	Pharrell Williams		03:50
Checked	G2			HAVE I TOLD YOU LATELY THAT I LOVE YOU	ROD STEWART		03:55
Checked	NB			HEAL THE WORLD	Michael Jackson	Dangerous	05:23
Checked	R2			Heat Waves	Glass Animals	Billboard Top 100 of 2022	03:55
Checked	G1			HEAVEN	BRYAN ADAMS		03:52
Checked	G1			HEAVEN IS A PLACE ON EARTH	BELINDA CARLISLE	Heaven on Earth	03:58
Checked	R2			Hej Hej!	DARIA ZAWIAŁOW	Helsinki	03:43
Checked	R2			HEJ WY	KORTEZ		04:00
Checked	G1			Hello	LIONEL RICHIE		04:00
Checked	R2			Hello (Radio Edit)	Adele		04:09
Checked	SP1			HELP	THE BEATLES		02:15
Checked	CF2			HERBATA Z IMBIREM	SMOLASTY		02:26
Checked	G1			HERE COMES THE RAIN AGAIN	Eurythmics		04:53
Checked	R2			HERE WITH ME (ALBUM VERSION)	DIDO		04:07
Checked	R2			HERE WITHOUT YOU	3 DOORS DOWN	Away from the Sun	03:51
Checked	G1			HERO	Mariah Carey		04:16
Checked	SP2			HEY JUDE	THE BEATLES		06:46
Checked	R2			Hey Ya! (Radio Mix / Club Mix)	Outkast		03:55
Checked	R2			HIGH	JAMES BLUNT		03:58
Checked	G2			HIGH	Lighthouse Family		04:33
Checked	CF2			hip hip hura!	sanah	hip hip hura!	04:08
Checked	G2			HISTORIA JEDNEJ MILOSCI	ANITA LIPNICKA		04:00
Checked	F1			HIT THE ROAD JACK	RAY CHARLES		01:50
Checked	G2			HOLD ME, THRILL ME, KISS ME, KILL ME	U2		04:37
Checked	G2			Hold On	WILSON PHILIPS		04:12
Checked	SP1			HOLD THE LINE	TOTO		03:54
Checked	G2			HOLDING OUT FOR A HERO	BONNIE TYLER		05:35
Checked	SP2			Hotel California	THE EAGLES		06:19
Checked	CF1			Houdini	Dua Lipa	Houdini	03:03
Checked	G2			HOW AM I SUPPOSED TO LIVE WITHOUT YOU	MICHAEL BOLTON		04:10
Checked	SP1			How Deep Is Your Love	Bee Gees		03:55
Checked	G2			HOW DO YOU DO	ROXETTE		03:03
Checked	R2			HOW YOU REMIND ME	NICKELBACK		03:37
Checked	R1			Human	Rag'n'Bone Man		03:14
Checked	G2			HUMAN NATURE	Michael Jackson	THRILLER	04:00
Checked	G2			HUNGRY LIKE A WOLF	DURAN DURAN		03:22
Checked	R2			Huragan (Album Mix)	Mrozu		03:20
Checked	R1			HYMN FOR THE WEEKEND	Coldplay		03:40
Checked	R1			I Ain't Worried	OneRepublic	Billboard Top 100 of 2022	02:26
Checked	G2			I CAN SEE CLEARLY NOW	JIMMY CLIFF		03:04
Checked	G2			I CAN'T DANCE	GENESIS		03:49
Checked	G2			I CAN'T STOP LOVING YOU	TOTO		04:21
Checked	R1		Męskie Granie Orkiestra 2021	I Ciebie też, bardzo	Daria Zawiałow &  Dawid Podsiadło & Vito Bambino		03:20
Checked	R2			I DON'T FEEL LIKE DANCIN'	SCISSOR SISTERS		04:29
Checked	G2			I DON'T WANNA FIGHT	Tina Turner		04:16
Checked	G2			I DON'T WANNA GO ON WITH YOU LIKE THAT	ELTON JOHN		03:50
Checked	G2			I DON'T WANNA LOSE YOU	Tina Turner		04:06
Checked	G1			I DON'T WANNA MISS A THING	AEROSMITH		04:47
Checked	R1			I FEEL IT COMING	THE WEEKND FT. DAFT PUNK		03:46
Checked	SP1			I GOT YOU (I FEEL GOOD)	JAMES BROWN		02:44
Checked	G1			I JUST CALLED TO SAY I LOVE YOU	Stevie Wonder		04:17
Checked	G1			I JUST DIED IN YOUR ARMS	CUTTING CREW		04:41
Checked	G2			I LOVE YOU ALWAYS FOREVER	DONNA LEWIS		03:51
Checked	R2			I Need a Dollar	Aloe Blacc		04:01
Checked	R2			I See Fire	Ed Sheeran		04:51
Checked	SP2			I SHOT THE SHERRIF	ERIC CLAPTON		04:16
Checked	G2			I SHOULD BE SO LUCKY	KYLIE MINOGUE		03:18
Checked	G1			I STILL HAVEN`T WHAT I`M LOOKING FOR	U2		04:26
Checked	G2			I Swear	All-4-One		03:39
Checked	G2			I Try	Macy Gray		03:50
Checked	G2			I TURN TO YOU	MELANIE C	NORTHERN STAR	05:41
Checked	G1			I Wanna Dance with Somebody (Who Loves Me)	Whitney Houston		04:42
Checked	G1			I WANT IT THAT WAY	BACKSTREET BOYS		03:27
Checked	G2			I Want to Know What Love Is	Foreigner		04:50
Checked	G1			I WILL ALWAYS LOVE YOU	Whitney Houston		04:12
Checked	SP1			I WILL SURVIVE	GLORIA GAYNOR		03:03
Checked	G2			I WISH IT WOULD RAIN DOWN	Phil Collins		05:23
Checked	G1			IF I COULD TURN BACK TIME	CHER		03:53
Checked	G2			IF I EVER LOSE MY FAITH IN YOU	STING		04:19
Checked	R2			IF I TOLD YOU THAT	Whitney Houston		03:58
Checked	R2			IF I WERE A BOY	Beyoncé		04:05
Checked	G2			IF YOU DON'T KNOW ME BY NOW	Simply Red		03:20
Checked	G2			IF YOU HAD MY LOVE	Jennifer Lopez		03:38
Checked	G2			I'LL BE MISSING YOU	PUFF DADDY & FAITH EVANS		03:24
Checked	G2			I'LL BE THERE FOR YOU	REMBRANDTS		02:58
Checked	R2			Illusion	Dua Lipa	Illusion	03:07
Checked	SP1			I'm a Believer	The Monkees		02:40
Checked	G2			I'M EASY	FAITH NO MORE		02:59
Checked	R2			I'M GONNA GETCHA GOOD!	SHANIA TWAIN		04:28
Checked	R1			I'M LIKE BIRD	Nelly Furtado		03:33
Checked	G1			I'M STILL STANDING	ELTON JOHN		02:56
Checked	G2			IM WIĘCEJ CIEBIE TYM MNIEJ	NATALIA KUKULSKA		04:36
Checked	R2			I'M WITH YOU	AVRIL LAVIGNE		03:41
Checked	R1			I'M YOURS	JASON MRAZ		03:30
Checked	R1			IMITATION OF LIFE	R.E.M.		03:52
Checked	R2			In My Bones	Lost Frequencies	In My Bones	02:32
Checked	R2			IN MY PLACE	Coldplay		03:42
Checked	SP2			IN MY SECRET LIFE	LEONARD COHEN		03:47
Checked	NB			In The Air Tonight - 2015 Remastered	Phil Collins	Face Value (Deluxe Editon)	05:19
Checked	G2			IN THE ARMY NOW	STATUS QUO		04:26
Checked	G1			IRIS	GOO GOO DOLLS		04:38
Checked	G1			Ironic	Alanis Morissette		03:41
Checked	R2			Irreplaceable	Beyoncé		03:45
Checked	R2			Is It Love	Loreen	Is It Love	02:16
Checked	G2			ISC W STRONE SLONCA	2 PLUS 1		04:16
Checked	G2			IT AIN'T OVER TIL IT'S OVER	LENNY KRAVITZ	Mama Said	03:41
Checked	G1			IT MUST HAVE BEEN LOVE	ROXETTE		04:12
Checked	R2			IT WASN'T ME	SHAGGY		03:36
Checked	SP1			IT'S A HEARTACHE	BONNIE TYLER		03:19
Checked	SP2			It's A Man's, Man's, Man's World	JAMES BROWN		02:41
Checked	R1			IT'S MY LIFE	NO DOUBT		03:45
Checked	R1			IT'S MY LIFE	BON JOVI		03:42
Checked	SP2			IT'S RAINING MEN	GERI HALLIWELL		03:34
Checked	G2	LON		I'VE BEEN THINKING ABOUT YOU	LONDONBEAT		03:43
Checked	G2			JA WYSIADAM	ANNA MARIA JOPEK		03:16
Checked	SP2			JAILHOUSE ROCK	ELVIS PRESLEY		02:26
Checked	R1			JAK NIE MY TO KTO	MROZU feat.TOMSON	Rollercoaster	03:37
Checked	G2			JAK RZECZ	KASIA KOWALSKA		04:24
Checked	CF2			Jak w filmie	SARSA	Jak w filmie	02:59
Checked	SP2			JAKA-JA-KAYAH	KAYAH		03:47
Checked	R1			JE VEUX	ZAZ		03:33
Checked	G2			JENNY	EDYTA BARTOSIEWICZ		04:36
Checked	R2			JESLI TYLKO CHCESZ	KUKIZ & BORYSEWICZ		03:29
Checked	G2			JESTEM KOBIETA	EDYTA GORNIAK		04:08
Checked	G2			JESTEM POWIETRZEM	ANITA LIPNICKA		03:34
Checked	SP2			Jestem Twoją Bajką	Kleks	Jestem Twoją Bajką	02:50
Checked	G2			JESTEM Z MIASTA	ELEKTRYCZNE GITARY		02:41
Checked	SP1			JESTES LEKIEM NA CAŁE ZŁO	KRYSTYNA PRONKO		04:34
Checked	G2			JESUS HE KNOWS ME	GENESIS		04:08
Checked	G2			JESZCZE BLIZEJ	PIASEK		03:51
Checked	G2			Joe Le Taxi	VANESSA PARADIS		03:30
Checked	NB			JOLKA JOLKA PAMIETASZ	BUDKA SUFLERA		06:20
Checked	G2			JOSEPHINE	Chris Rea		04:27
Checked	G2			JOSZKO BRODA	ANNA MARIA JOPEK		03:48
Checked	SP2			JUST CAN'T GET ENOUGH	DEPECHE MODE		03:35
Checked	R1			Just Like Fire	P!nk	Billboard Usa Top 100 Hits 2016	03:32
Checked	G2			JUST MY IMAGINATION	The Cranberries		03:07
Checked	R1			JUST THE WAY YOU ARE (AMAZING)	Bruno Mars		03:32
Checked	R2			JUTRO (RADIO EDIT)	LemON		04:03
Checked	R2			KAMIEŃ Z NAPISEM LOVE	ENEJ		03:02
Checked	SP2			KIEDY BYLEM MALYM CHLOPCEM	BREAKOUT		03:00
Checked	G1			KIEDY POWIEM SOBIE DOSC	O.N.A.		04:47
